firmid,id,cdid,zd1,zd2,zd3,zd4,zd5,zd6,zd7
1,1,1,1.0,0.9661590405603139,0.08665911932931925,0.32268167991071517,0.7810146141360714,1.0474305805118311,1.6574984501948276
2,2,1,1.0,0.10521355425600065,0.048519203519990284,1.1836271662150284,0.8191545299454004,1.4640067661057727,1.6249105016215017
3,3,1,1.0,0.21746812565471452,0.7324954106160811,1.0713725948163146,0.13517832284930953,1.5583797593761477,1.2853161431819964
1,4,2,1.0,0.5971044799854418,0.005547060646385549,1.4760526848232185,0.9404434281118185,1.9397901908867725,1.4292751810433872
2,5,2,1.0,0.8436257248666764,0.9250196889887174,1.2295314399419839,0.02097079976948657,1.8974123440162725,0.8665726073113793
3,6,2,1.0,0.6324269599565421,0.015423739123101021,1.4407302048521182,0.930566749635103,1.9551283539990365,1.437102338227982
1,7,3,1.0,0.3281002940235651,0.9641734416565139,0.6920566415772156,0.667048120008511,1.910421645179572,1.3366973809821294
2,8,3,1.0,0.5594084052632972,0.491374413958927,0.46074853033748353,1.1398471477060979,1.7814004567256037,1.7048226032133025
3,9,3,1.0,0.13264823631391842,0.175673706049584,0.8875086992868623,1.4555478556154409,1.7960167458875278,1.4421524500025364
1,10,4,1.0,0.7347240241530882,0.8925684507608674,1.2718935284759658,0.7549225784843029,1.806712474495046,1.466914119625671
2,11,4,1.0,0.9420657989945442,0.6831347034939569,1.0645517536345097,0.9643563257512134,1.6453227623315452,1.6452379593096143
3,12,4,1.0,0.3298277294814216,0.071787874990346,1.6767898231476326,1.5757031542548243,1.5361944700867893,1.1979809730187188
1,13,5,1.0,0.7977146759172664,0.8381795942737389,0.2947224962499686,0.6263752356784983,1.3080957162344475,1.4972381816509346
2,14,5,1.0,0.2489415704668182,0.4886315645608046,0.8434956017004168,0.9759232653914326,1.6995312829888647,1.7691411825481063
3,15,5,1.0,0.045780925783150406,0.1377436711176937,1.0466562463840847,1.3268111588345435,1.5276963037536608,1.4964080222175542
1,16,6,1.0,0.04869791526657974,0.5912288856648902,1.0441382231919683,0.8212977867672558,1.453735350642015,1.9100454125226833
2,17,6,1.0,0.11133095547963368,0.5304252833571735,0.9815051829789143,0.8821013890749725,1.5053311672098304,1.9405397137940286
3,18,6,1.0,0.9328072677123346,0.2908725034100823,0.16002887074621341,1.1216541690220638,0.9668969442815374,1.8579656308665737
1,19,7,1.0,0.4037278433276954,0.7569379101243227,0.9420828031915404,0.9216932832839332,1.7640456693582458,1.800446124764088
2,20,7,1.0,0.12159552388399797,0.6062625672297771,1.2242151226352378,1.0723686261784788,1.537063811664884,1.8964479478760863
3,21,7,1.0,0.8204872793075424,0.31543071605415607,0.5253233672116934,1.3632004773540998,1.4541356460527033,1.741788640232337
1,22,8,1.0,0.3031471154628179,0.7324611179496774,1.1326914931795162,0.9557808375289852,1.8438053759112756,1.8700310755479141
2,23,8,1.0,0.684571628030409,0.42553457727099664,0.7512669806119252,1.2627073782076659,1.8102279254469364,1.8991925281404547
3,24,8,1.0,0.4481198651491073,0.5302462602579886,0.987718743493227,1.157995695220674,1.9248269932922315,1.949029257173746
1,25,9,1.0,0.18808915751214217,0.646150763333019,0.5964715374047866,0.9216228100614137,1.8731445882751623,1.9190719147989657
2,26,9,1.0,0.06430513160003015,0.3743951476920926,0.7202555633168987,1.19337842570234,1.788201043590881,1.8993806230281218
3,27,9,1.0,0.5321664058047565,0.5472276623693211,0.2523942891121723,1.0205459110251116,1.6917570180102093,1.9608325983046888
1,28,10,1.0,0.03636799703744187,0.3285781391445739,1.7549905699975519,1.0784969707739431,0.9857640493126465,1.9052331317110573
2,29,10,1.0,0.8823250790377124,0.606821054433417,0.9090334879972813,0.8002540554851,1.488784171070288,1.907403447535807
3,30,10,1.0,0.8726654909598395,0.4716759163405261,0.9186930760751543,0.935399193577991,1.4967932716647354,1.9616328271547232
1,31,11,1.0,0.056949877272606586,0.9599919531269526,0.24663180717039035,1.651002134879959,1.9629516388381714,1.9632820693894386
2,32,11,1.0,0.24340118830951196,0.8469105467642453,0.06018049613348497,1.7640835412426665,1.9097834057029868,1.985462223555418
3,33,11,1.0,0.003230618860878387,0.8040915881157138,0.30035106558211855,1.8069024998911978,1.941068569014909,1.974156278928402
1,34,12,1.0,0.05651183776731972,0.695863304821518,0.23709845319034417,1.3640837362379234,1.9708475984525282,1.9870564699100313
2,35,12,1.0,0.014055767463349134,0.7614406980606838,0.27955452349431476,1.2985063429987576,1.9554636144379693,1.9708074273557727
